aX,aY,aZ,gX,gY,gZ,target
-830,-173,-9557,2,1,-3,0
-820,-166,-9569,3,2,-3,0
-818,-167,-9562,3,1,-3,0
-840,-161,-9539,1,0,-3,0
-829,-156,-9516,3,2,-3,0
-816,-159,-9548,3,2,-2,0
-837,-142,-9569,1,0,-2,0
-837,-142,-9569,1,0,-2,0
-845,-146,-9535,2,2,-2,0
-835,-153,-9563,2,1,-2,0
-826,-153,-9553,1,1,-2,0
-826,-162,-9544,3,2,-4,0
-800,-174,-9545,4,2,-3,0
-817,-164,-9538,2,1,-2,0
-809,-179,-9566,2,1,-4,0
-827,-162,-9561,3,1,-3,0
-836,-152,-9545,3,0,-3,0
-802,-161,-9559,2,1,-3,0
-835,-162,-9550,3,3,-3,0
-846,-171,-9548,4,2,-3,0
-832,-152,-9560,1,0,-3,0
-852,-138,-9555,2,2,-2,0
-843,-146,-9549,5,2,-2,0
-824,-153,-9545,2,2,-4,0
-832,-155,-9555,0,1,-4,0
-842,-138,-9538,2,2,-4,0
-810,-167,-9539,3,2,-3,0
-816,-161,-9562,-1,0,-2,0
-834,-138,-9560,-2,0,-4,0
-832,-141,-9551,4,3,-3,0
-800,-165,-9545,6,2,-2,0
-816,-167,-9555,1,0,-2,0
-830,-130,-9550,0,1,-3,0
-835,-166,-9545,5,3,-3,0
-833,-179,-9550,3,2,-3,0
-839,-159,-9560,0,0,-3,0
-835,-143,-9563,1,1,-3,0
-836,-161,-9553,5,2,-2,0
-830,-171,-9543,2,2,-3,0
-829,-168,-9566,1,0,-3,0
-827,-155,-9554,2,0,-3,0
-828,-154,-9551,3,1,-2,0
-823,-149,-9547,4,1,-1,0
-820,-154,-9547,4,0,-1,0
-809,-142,-9566,2,1,-2,0
-826,-149,-9566,2,1,-3,0
-822,-169,-9541,3,2,-3,0
-834,-165,-9544,2,1,-2,0
-836,-153,-9578,1,1,-4,0
-833,-158,-9539,2,2,-2,0
-830,-152,-9531,3,3,-3,0
-835,-144,-9560,2,1,-4,0
-840,-135,-9556,1,2,-2,0
-837,-156,-9554,4,2,-3,0
-816,-159,-9547,4,1,-2,0
-834,-155,-9536,2,1,-1,0
-845,-155,-9555,0,0,-2,0
-821,-140,-9556,3,2,-2,0
-827,-165,-9551,5,3,-2,0
-803,-164,-9554,3,1,-4,0
-796,-165,-9561,3,1,-4,0
-830,-168,-9553,3,1,-3,0
-841,-161,-9554,1,1,-2,0
-827,-154,-9562,2,2,-1,0
-829,-148,-9539,2,1,-3,0
-824,-129,-9522,0,1,-4,0
-869,-102,-9407,3,5,-4,0
-905,-141,-9434,6,11,-4,0
-882,-185,-9864,-21,2,-3,0
-824,-34,-9777,-36,-13,-2,0
-750,-175,-9443,48,15,-7,0
-681,-375,-9323,66,19,-6,0
-718,-263,-9483,-17,-5,1,0
-829,-122,-9768,-48,-10,3,0
-890,5,-9525,-20,-8,0,0
-879,-119,-9459,31,10,-6,0
-893,-173,-9616,21,11,-6,0
-869,-105,-9505,-2,1,-5,0
-822,-152,-9502,0,6,-5,0
-806,-118,-9603,-12,0,-3,0
-806,-148,-9610,2,2,-3,0
-823,-202,-9566,20,8,-3,0
-828,-228,-9417,17,6,-4,0
-839,-192,-9517,-9,-1,-1,0
-864,-108,-9626,-21,-5,-1,0
-833,-122,-9559,8,2,-3,0
-802,-190,-9518,21,9,-5,0
-794,-152,-9551,3,4,-4,0
-814,-125,-9585,-8,1,-3,0
-785,-135,-9553,3,2,-4,0
-775,-161,-9553,7,4,-4,0
-810,-120,-9583,-1,0,-2,0
-832,-141,-9531,8,2,-3,0
-818,-202,-9506,13,5,-4,0
-833,-141,-9529,-6,-1,-3,0
-860,-99,-9611,-9,0,-2,0
-843,-124,-9567,9,2,-2,0
-814,-193,-9517,18,6,-4,0
-812,-171,-9532,-2,1,-2,0
-812,-171,-9532,-2,1,-2,0
-845,-125,-9580,-9,-1,-1,0
-833,-181,-9569,6,4,-2,0
-805,-202,-9517,11,4,-4,0
-804,-190,-9528,2,1,-3,0
-820,-162,-9541,0,1,-4,0
-802,-177,-9560,5,3,-3,0
-803,-159,-9547,2,2,-3,0
-830,-117,-9584,-2,0,-3,0
-842,-93,-9561,0,0,-3,0
-841,-124,-9541,9,3,-4,0
-836,-146,-9559,3,1,-4,0
-853,-123,-9535,-1,0,-4,0
-815,-154,-9551,5,3,-2,0
-808,-166,-9542,7,5,-2,0
-814,-172,-9549,3,4,-3,0
-800,-168,-9568,1,3,-4,0
-816,-162,-9545,2,2,-4,0
-808,-174,-9549,6,3,-2,0
-824,-180,-9539,5,2,-1,0
-818,-161,-9526,3,1,-1,0
-818,-146,-9568,1,2,-2,0
-815,-119,-9572,-1,0,-2,0
-824,-134,-9567,6,2,-3,0
-832,-156,-9554,9,3,-4,0
-833,-142,-9531,2,1,-3,0
-817,-140,-9565,0,2,-4,0
-826,-153,-9556,3,1,-3,0
