t_s,media_mA,min_mA,max_mA,n
56.56,37.5815,24.1558,63.5592,10240
56.66,37.6592,23.8121,63.6169,10240
56.76,37.4980,23.9102,63.9052,9728
56.86,37.7983,23.9593,64.9240,10240
56.96,37.6766,23.9593,63.7899,10240
57.06,36.0537,23.9593,63.3864,9728
57.16,34.0454,23.8121,62.8110,10240
57.26,34.4748,23.5669,63.6745,10240
57.37,33.8396,24.0576,63.7322,9728
57.47,34.6877,23.7140,64.3672,10240
57.57,34.0646,23.9593,63.7899,9728
57.67,34.7105,23.7630,64.3672,10240
57.77,34.6651,23.8121,64.4829,10240
57.87,35.1346,23.7140,67.9471,9728
57.97,33.8235,23.8121,64.3095,10240
58.07,35.0334,23.5179,63.9052,10240
58.17,34.5798,23.6649,63.9052,9728
58.27,34.2433,23.7140,63.5016,10240
58.37,34.6068,23.9102,64.1362,10240
58.47,34.5622,23.9102,63.8475,9728
58.57,35.0726,23.9593,63.6169,10240
58.67,33.8673,23.4689,63.2712,10240
58.77,34.9480,23.6159,63.3864,9728
58.87,34.8136,24.0084,65.6796,10240
58.98,34.0663,23.9593,64.0207,10240
59.08,34.7027,23.7140,64.1362,9728
59.18,34.6583,23.9102,64.3095,10240
59.28,34.2037,23.7630,64.7142,10240
59.38,34.6803,23.5179,64.1939,9728
59.48,34.5405,24.2050,64.0784,10240
59.58,34.9679,23.9593,64.0784,10240
59.68,34.2968,23.8612,64.0207,9728
59.78,34.5620,23.8612,64.1939,10240
59.88,34.6678,23.7140,64.9240,10240
59.98,34.4664,24.2050,64.2517,9728
60.08,34.6464,23.5669,64.2517,10240
60.18,34.3112,23.6649,63.9052,9728
60.28,35.0721,23.9102,64.9240,10240
60.38,34.2684,23.7630,66.4354,9728
60.48,34.5687,23.9102,63.8475,10240
60.58,34.5806,23.9102,63.8475,10240
60.68,34.4575,24.0576,63.6745,9728
60.78,34.5914,23.7630,63.7322,10240
60.88,34.4633,23.7630,67.1912,10240
60.99,34.9619,23.9102,63.6745,9728
61.09,34.5064,23.6649,64.8300,10240
61.19,33.9176,23.6649,64.1684,10240
61.29,34.9737,23.9593,63.7322,9728
61.39,34.6634,23.9102,64.0784,10240
61.49,34.3076,23.8121,63.8475,9728
61.59,34.4543,23.7140,63.8475,10240
61.69,34.6437,23.8612,64.2517,10240
61.79,34.6952,23.5669,64.1362,10240
61.89,34.1847,23.6159,63.9052,9728
61.99,35.0721,23.7140,63.3864,10240
62.09,34.4699,23.8121,64.3672,10240
62.19,34.6387,23.4199,63.9052,9728
62.29,34.3528,23.8612,64.6564,10240
62.39,34.5821,23.8121,64.1939,9728
62.49,35.0526,23.9593,63.7899,10240
62.60,34.3312,23.7140,63.6745,10240
62.70,35.4638,23.6159,64.4829,9728
62.80,35.1633,23.8121,63.9052,10240
62.90,34.9861,23.9102,63.8475,10240
63.00,34.8132,23.7630,64.3672,9728
63.10,35.1577,24.0576,64.7142,10240
63.20,34.6389,23.5179,63.7899,10240
63.30,34.9528,24.0576,63.6169,9728
63.40,35.1713,23.3220,63.7322,10240
63.50,35.4936,23.5179,63.7899,10240
63.60,34.1425,23.4199,63.4130,9728
