t_s,media_mA,min_mA,max_mA,n
7.09,37.8845,24.1558,63.4440,2048
7.11,37.9072,24.2542,62.5811,2560
7.13,37.3396,24.0084,62.5237,1536
7.15,35.6787,23.7630,62.2941,2048
7.17,37.9816,24.3033,63.0985,2048
7.19,37.4547,23.9593,63.2136,2048
7.21,37.9541,24.4017,62.8684,2048
7.23,35.1586,24.1067,62.6960,2048
7.25,35.3218,24.0084,63.1561,2048
7.27,35.0099,24.1067,63.0985,2048
7.29,33.5046,23.8612,63.3864,2048
7.31,32.8816,23.7630,63.0410,2048
7.33,35.3375,24.2050,63.1561,2048
7.35,35.0862,23.8612,63.1561,2048
7.37,31.4021,23.7140,64.3095,2048
7.39,34.9565,24.0576,64.3095,2048
7.41,35.2896,24.1067,63.4440,2048
7.43,33.4261,23.6649,63.0410,2048
7.45,32.8616,24.2050,62.5811,2048
7.48,35.1610,23.8121,63.4440,2048
7.50,35.1414,24.1067,64.3095,2048
7.52,32.4955,23.7140,63.7899,2048
7.54,33.1133,24.0576,62.4088,2048
7.56,32.9804,24.2050,62.7535,2048
7.58,34.5720,23.8612,63.2136,2048
7.60,35.2790,23.9593,62.8684,2048
7.62,33.6767,24.0084,63.5016,2048
7.64,32.8006,23.8121,63.0985,2048
7.66,35.6465,24.1067,65.6796,2048
7.68,35.4085,24.1067,63.5592,2048
7.70,31.6943,24.0576,62.8684,2048
7.72,34.6334,23.7630,63.5016,2048
7.74,34.9866,23.9593,63.5016,2048
7.76,33.9407,24.0084,63.0985,2048
7.78,35.8502,24.1067,63.1561,2048
7.80,33.8873,23.9102,62.2367,2048
7.82,34.9925,23.7140,64.0784,2048
7.84,35.3818,24.0576,63.9630,2048
7.86,33.1087,23.6159,63.6745,2048
7.88,33.2355,24.0576,62.9259,2048
7.91,35.1121,24.1558,62.9259,2048
7.93,35.1089,23.5669,63.8475,2048
7.95,31.2131,24.0084,62.9835,2048
7.97,35.1949,23.8612,62.5237,2048
7.99,35.1614,24.1067,63.5016,2048
8.01,33.2419,24.0576,64.0207,2048
8.03,36.9156,24.1558,62.8684,2048
8.05,33.3084,23.3709,62.9259,2048
8.07,35.2835,24.0084,63.5592,2048
8.09,34.5696,23.9593,62.9835,2048
8.11,31.7787,23.9102,61.1487,2048
8.13,34.9471,24.1558,63.0985,2048
