ax,ay,az,gx,gy,gz,temp,hum,pres,class
501600.0,-141262.0,10009265.0,1597.0,-4793.0,-2663.0,20290000.0,56755000.0,100930000.0,0
474066.0,-124502.0,10011659.0,-1065.0,-5326.0,-3728.0,20290000.0,56755000.0,100930000.0,0
494417.0,-187950.0,9996096.0,-2663.0,-4261.0,-3195.0,20290000.0,56755000.0,100930000.0,0
493220.0,-225061.0,9999688.0,-2130.0,-4261.0,-2663.0,20290000.0,56755000.0,100930000.0,0
483643.0,-178373.0,9991308.0,0.0,-4261.0,-2663.0,20290000.0,56755000.0,100930000.0,0
494417.0,-128093.0,10010462.0,1597.0,-4793.0,-3195.0,20290000.0,56755000.0,100930000.0,0
495614.0,-155627.0,10002082.0,-1065.0,-4793.0,-3195.0,20290000.0,56755000.0,100930000.0,0
513571.0,-203513.0,10011659.0,-2663.0,-4261.0,-2663.0,20290000.0,56755000.0,100930000.0,0
502797.0,-202316.0,9987717.0,0.0,-3195.0,-2663.0,20290000.0,56755000.0,100930000.0,0
500403.0,-171190.0,10008068.0,1597.0,-5326.0,-2130.0,20290000.0,56755000.0,100930000.0,0
487234.0,-172387.0,10010462.0,0.0,-5326.0,-3728.0,20290000.0,56755000.0,100930000.0,0
481249.0,-171190.0,10002082.0,-1597.0,-5859.0,-3195.0,20290000.0,56755000.0,100930000.0,0
499206.0,-181964.0,10004476.0,0.0,-4261.0,-2663.0,20290000.0,56755000.0,100930000.0,0
499206.0,-181964.0,10004476.0,0.0,-4261.0,-2663.0,20290000.0,56755000.0,100930000.0,0
492023.0,-168796.0,10002082.0,1597.0,-4793.0,-3195.0,20290000.0,56755000.0,100930000.0,0
478854.0,-171190.0,9988914.0,-1065.0,-3728.0,-3728.0,20290000.0,56755000.0,100930000.0,0
506389.0,-174782.0,10009265.0,-1597.0,-3728.0,-2663.0,20290000.0,56755000.0,100930000.0,0
499206.0,-192739.0,10012856.0,0.0,-5859.0,-2130.0,20290000.0,56755000.0,100930000.0,0
498009.0,-185556.0,10011659.0,1065.0,-5326.0,-2663.0,20290000.0,56755000.0,100930000.0,0
