acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
5624,-1746,7805,-11,-20,3,3
5643,-1678,7805,-6,-18,0,3
5650,-1634,7840,7,-13,-4,3
5646,-1608,7883,24,-5,-22,3
5654,-1476,7920,17,-8,-26,3
5693,-1440,7905,4,-12,-11,3
5716,-1485,7861,-1,-11,2,3
5715,-1551,7808,-14,-13,14,3
5727,-1649,7789,-20,-10,15,3
5640,-1702,7866,-1,12,-3,3
5590,-1646,8023,-5,15,-12,3
5599,-1605,8091,-9,6,-11,3
5636,-1577,8049,-10,-5,-6,3
5633,-1577,8007,-9,-13,2,3
5656,-1602,7950,-6,-16,9,3
5678,-1619,7886,-7,-15,10,3
5707,-1630,7855,-8,-13,14,3
5701,-1696,7871,-17,-11,9,3
5657,-1753,7892,-19,-10,-11,3
5650,-1719,7862,-14,-15,-26,3
5689,-1636,7844,-12,-11,-22,3
5713,-1598,7861,-10,-6,-17,3
5710,-1629,7874,-7,-10,-17,3
5680,-1563,7852,1,-7,-11,3
5701,-1545,7818,1,-6,-4,3
5705,-1522,7811,-7,-5,-5,3
5692,-1477,7813,-13,-2,-2,3
5691,-1496,7817,-23,-1,1,3
5688,-1557,7812,-25,1,6,3
5655,-1625,7808,-19,3,10,3
5676,-1642,7799,-15,5,7,3
5709,-1647,7840,-17,4,2,3
5715,-1628,7814,-15,4,0,3
5715,-1655,7806,-9,8,-3,3
5687,-1659,7844,-11,10,-5,3
5681,-1665,7881,-26,7,-13,3
5656,-1655,7929,-51,-4,-26,3
5630,-1643,7887,-58,-16,-25,3
5682,-1643,7775,-17,-6,1,3
5731,-1727,7635,4,7,2,3
5723,-1708,7527,-23,11,-31,3
5758,-1650,7503,-34,30,-44,3
5828,-1781,7442,-38,47,-70,3
5802,-1871,7394,-62,51,-116,3
5765,-1871,7357,-63,65,-173,3
5852,-1619,7360,-36,82,-183,3
5796,-1517,7391,-40,105,-183,3
5858,-1722,7434,-51,149,-143,3
5859,-1686,7297,-58,165,-150,3
5833,-1727,7223,-64,185,-166,3
5833,-1727,7223,-64,185,-166,3
5735,-1996,7113,-46,232,-152,3
