acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
-13978,13067,16890,-937,-506,-381,2
-10945,10218,15360,-382,-582,824,2
-7847,5759,13871,74,-624,1418,2
-6016,3373,12501,511,-588,1313,2
-5514,3682,10770,945,-555,1063,2
-5257,5006,8937,1055,-644,980,2
-4106,6089,7665,288,-593,1087,2
-3969,5674,7934,226,-459,1126,2
-4087,4999,8099,333,-284,1121,2
-4479,4960,8418,384,-158,1174,2
-5104,5302,8910,395,-108,1313,2
-6027,5924,9423,480,-71,1554,2
-6917,6887,9908,545,-103,1917,2
-7752,7818,10375,300,-400,2348,2
-8035,8196,10780,-246,-965,2841,2
-7831,8403,10880,-654,-1494,3441,2
-7259,9014,10999,-876,-1894,4157,2
-6499,8746,11605,-940,-2228,4879,2
-5729,6787,11927,-397,-2283,5421,2
-5284,5656,11846,496,-2090,5811,2
-5497,6659,11752,1064,-2049,6331,2
-5570,7868,11637,1109,-2307,6889,2
-5685,8037,11885,506,-2824,7338,2
-5745,7348,12397,-564,-3608,7688,2
-4699,6870,12130,-1630,-4390,7869,2
-3377,7025,10758,-2569,-4811,7830,2
-2231,7045,8936,-3489,-4939,7696,2
-1425,6622,7334,-4355,-4799,7275,2
-1747,4647,7122,-5223,-4740,6284,2
-1877,3002,7583,-6079,-4949,4970,2
-2092,2697,7389,-6751,-5245,3722,2
-2334,3401,6755,-7109,-5519,2688,2
-1347,5054,4952,-7205,-5686,2048,2
152,6474,2157,-7190,-5715,2005,2
1945,5942,-887,-7055,-5608,2333,2
3217,3530,-3645,-6594,-5366,2741,2
3575,553,-5247,-5876,-5075,3087,2
4410,-2195,-6836,-4994,-4723,3191,2
5405,-4018,-7922,-4122,-4212,2943,2
6023,-5114,-8965,-3550,-3667,2514,2
6730,-5894,-10679,-3280,-3211,2034,2
7452,-6952,-12719,-2986,-2680,1578,2
8107,-8278,-13822,-2508,-1962,1124,2
8567,-9841,-13534,-1939,-1262,566,2
8892,-10204,-12227,-1277,-683,-121,2
9130,-8923,-10263,-534,-231,-548,2
9659,-8492,-8104,260,92,-606,2
9850,-8487,-5603,851,353,-544,2
9539,-8111,-3079,1223,519,-541,2
9524,-7271,-1235,1456,599,-472,2
9671,-6423,-23,1563,662,-321,2
9463,-5881,1271,1536,715,-123,2
9068,-5469,2303,1416,712,5,2
8814,-5259,2834,1218,649,-31,2
8616,-4386,3395,639,581,-604,2
8616,-4386,3395,639,581,-604,2
8599,-3973,3847,603,618,-718,2
8608,-3482,4273,642,633,-767,2
8661,-2820,4549,697,602,-760,2
8710,-2133,4594,734,533,-673,2
8842,-1511,4503,751,444,-478,2
9013,-1388,4480,728,354,-208,2
9049,-1541,4376,656,259,11,2
8844,-1793,4162,570,184,152,2
8537,-2444,4140,450,114,174,2
8309,-2622,3814,281,59,72,2
8397,-2584,3579,147,75,14,2
8615,-2621,3392,44,105,-34,2
8773,-2433,3094,-18,118,-68,2
8885,-2361,2877,-17,140,-25,2
8983,-2379,2839,43,156,66,2
8789,-2497,3027,140,157,167,2
8612,-2788,3251,215,142,257,2
8478,-3061,3565,260,126,282,2
8438,-3149,3811,275,117,259,2
8412,-3178,3982,267,112,246,2
8363,-3247,4045,219,88,209,2
8310,-3264,3964,147,60,153,2
8322,-3221,3863,88,48,128,2
8457,-3389,3764,69,45,206,2
8457,-3389,3764,69,45,206,2
8443,-3609,3782,90,37,229,2
8388,-3700,3833,112,29,217,2
8348,-3697,3808,128,28,213,2
8317,-3725,3721,115,26,195,2
8219,-3776,3670,87,23,150,2
8192,-3778,3635,66,25,101,2
8121,-3820,3678,49,29,55,2
8133,-3829,3709,35,22,-1,2
8231,-3714,3717,22,20,-37,2
8290,-3617,3749,21,33,-34,2
8381,-3557,3757,26,46,-10,2
8427,-3484,3713,29,58,33,2
8414,-3451,3675,30,65,86,2
8385,-3476,3606,35,69,141,2
8321,-3566,3551,44,72,179,2
8195,-3781,3602,37,69,169,2
8090,-3909,3650,26,58,95,2
8073,-3803,3574,30,51,15,2
8175,-3706,3624,37,56,-8,2
8209,-3732,3713,37,58,-30,2
8215,-3644,3747,25,61,-46,2
8263,-3605,3794,15,69,-23,2
8294,-3566,3836,28,78,3,2
8292,-3538,3866,49,85,36,2
8232,-3580,3990,57,83,55,2
8190,-3680,4075,44,64,37,2
8211,-3707,4061,30,37,-14,2
8304,-3544,3805,12,12,-78,2
8371,-3537,3748,20,15,-74,2
8366,-3537,3759,29,14,-69,2
8388,-3565,4102,75,13,5,2
8348,-3571,4125,48,1,-13,2
8354,-3480,4084,20,-6,-25,2
8405,-3435,3997,4,-13,-15,2
8364,-3432,3966,-5,-21,3,2
8327,-3506,3927,-9,-31,18,2
8320,-3524,3923,-9,-38,25,2
8357,-3533,3873,-5,-42,40,2
8357,-3563,3836,-4,-44,58,2
8339,-3580,3772,-9,-43,70,2
8333,-3567,3663,-15,-38,77,2
8281,-3599,3617,-13,-31,88,2
8151,-3590,3875,-17,-46,-36,2
8266,-3567,3780,-20,-49,-25,2
8356,-3530,3657,-31,-45,-14,2
8336,-3494,3567,-37,-35,0,2
8333,-3508,3537,-34,-22,25,2
8282,-3565,3583,-20,-16,48,2
8238,-3618,3663,-5,-9,58,2
8233,-3702,3756,4,-8,45,2
8231,-3748,3773,1,-19,-2,2
8209,-3636,3793,8,-23,-35,2
8251,-3648,3832,11,-29,-56,2
8256,-3556,3824,1,-37,-80,2
8335,-3451,3798,-10,-32,-68,2
