acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
334,-366,9810,-7,-6,5,0
324,-363,9778,0,-10,-7,0
348,-259,9730,10,-13,-14,0
363,-205,9739,8,-11,-15,0
366,-161,9762,0,-13,-10,0
350,-152,9773,-4,-12,-6,0
336,-181,9759,-11,-9,3,0
372,-249,9783,-12,-12,7,0
389,-253,9742,0,-15,9,0
396,-195,9678,13,-13,10,0
393,-190,9658,4,-10,7,0
397,-226,9672,0,-4,10,0
378,-262,9647,9,1,2,0
360,-232,9642,14,6,-5,0
350,-181,9693,2,12,0,0
338,-204,9749,-6,12,7,0
330,-246,9827,-6,11,13,0
335,-290,9870,-10,10,19,0
331,-278,9865,-5,5,17,0
322,-286,9856,4,-3,13,0
308,-314,9852,10,-6,4,0
305,-259,9851,7,-9,-5,0
313,-193,9830,4,-10,-8,0
301,-209,9814,-2,-11,-6,0
306,-276,9814,-8,-15,-4,0
312,-287,9794,-4,-17,0,0
343,-243,9772,2,-20,2,0
343,-243,9772,2,-20,2,0
371,-219,9750,8,-22,9,0
378,-232,9690,9,-21,17,0
380,-283,9682,11,-13,13,0
368,-307,9675,7,-12,-2,0
398,-214,9706,1,-9,-21,0
402,-190,9717,3,-6,-18,0
399,-166,9723,-2,-4,-13,0
379,-150,9706,1,0,-4,0
369,-165,9711,9,2,6,0
375,-160,9733,7,4,15,0
365,-167,9773,-1,5,22,0
320,-251,9821,-6,3,26,0
293,-329,9846,-8,1,20,0
294,-377,9826,-11,-2,-5,0
314,-295,9846,-16,-6,-15,0
317,-271,9851,-11,-8,-9,0
314,-314,9847,5,-13,-9,0
296,-330,9844,6,-18,-13,0
322,-336,9814,3,-20,-19,0
341,-308,9824,11,-22,-14,0
355,-293,9812,16,-26,-13,0
353,-283,9767,15,-27,-8,0
367,-301,9747,18,-26,-6,0
390,-317,9814,21,-21,-6,0
282,-484,9872,3,-18,-8,0
234,-687,9903,-8,-30,-20,0
282,-697,9830,11,-40,-46,0
316,-505,9755,33,-44,-65,0
366,-299,9699,38,-39,-67,0
403,-247,9701,30,-37,-64,0
405,-265,9707,28,-35,-72,0
387,-193,9739,29,-30,-83,0
401,-88,9749,27,-29,-68,0
438,-82,9737,37,-36,-54,0
456,-63,9717,42,-35,-52,0
466,-22,9703,36,-31,-51,0
492,65,9688,27,-26,-51,0
493,172,9648,18,-21,-48,0
521,282,9635,12,-17,-36,0
487,305,9654,-6,-13,-17,0
464,244,9658,-18,-7,7,0
463,111,9687,-11,-7,21,0
464,-25,9721,-11,-7,27,0
447,-81,9759,-7,-4,32,0
422,-122,9785,-8,-4,33,0
392,-227,9787,-22,-4,38,0
399,-374,9753,-24,-5,33,0
440,-319,9682,-10,-4,-1,0
440,-319,9682,-10,-4,-1,0
458,-260,9658,6,-1,8,0
453,-225,9634,-1,2,14,0
458,-187,9629,-8,6,17,0
454,-128,9639,-6,13,21,0
427,-120,9670,-11,18,29,0
389,-214,9705,-20,21,32,0
367,-307,9754,-14,25,14,0
362,-101,9803,0,1,65,0
362,-101,9803,0,1,65,0
365,-204,9779,-13,2,67,0
322,-380,9821,-36,-1,52,0
347,-496,9792,-37,-9,27,0
368,-368,9741,-9,-7,18,0
372,-235,9753,-3,-2,15,0
366,-270,9759,-21,-8,19,0
384,-362,9719,-17,-10,20,0
359,-395,9714,-14,-2,10,0
344,-320,9768,-19,2,4,0
335,-336,9835,-9,0,13,0
350,-404,9834,7,-7,20,0
395,-304,9723,-2,-14,-11,0
393,-239,9708,2,-9,-13,0
390,-186,9732,0,-6,-9,0
385,-241,9739,-9,-7,-5,0
369,-353,9773,-3,-7,-7,0
369,-353,9773,-3,-7,-7,0
391,-374,9768,-5,-14,-15,0
386,-341,9725,9,-14,-15,0
383,-274,9703,19,-11,-12,0
371,-288,9709,7,-9,-15,0
378,-300,9707,2,-5,-19,0
397,-264,9749,2,-1,-14,0
395,-305,9774,3,-3,-18,0
397,-289,9749,13,-6,-25,0
416,-183,9783,14,-4,-26,0
416,-138,9785,-1,-3,-22,0
404,-191,9774,-5,-6,-23,0
430,-75,9705,0,-1,-1,0
421,-73,9702,0,-1,0,0
421,-73,9702,0,-1,0,0
446,-80,9711,-16,-1,6,0
428,-59,9718,-12,2,13,0
407,-88,9757,-10,6,21,0
390,-179,9797,-19,8,30,0
360,-263,9820,-18,5,31,0
348,-337,9800,-13,1,26,0
367,-362,9800,-5,-3,20,0
372,-307,9788,-2,0,19,0
360,-287,9806,-6,0,17,0
368,-282,9784,-7,0,20,0
362,-301,9810,-6,0,26,0
338,-387,9815,-9,-4,23,0
310,-446,9811,-3,-9,12,0
348,-405,9803,7,-13,3,0
361,-326,9790,9,-12,-4,0
390,-271,9756,4,-16,-12,0
413,-233,9705,4,-19,-12,0
415,-209,9668,8,-16,-15,0
450,-160,9669,7,-13,-17,0
454,-98,9644,10,-7,-6,0
447,-128,9663,14,-2,5,0
422,-186,9687,15,1,12,0
391,-215,9692,9,3,17,0
392,-259,9707,4,5,11,0
392,-294,9762,0,5,1,0
390,-234,9812,1,6,1,0
393,-156,9817,4,4,4,0
377,-137,9812,0,3,9,0
379,-116,9823,-6,0,19,0
393,-96,9803,-7,0,27,0
363,-107,9811,-12,0,38,0
348,-223,9841,-15,0,52,0
368,-357,9836,-5,-3,56,0
348,-434,9817,2,-11,37,0
341,-433,9747,1,-16,7,0
395,-317,9668,0,-17,-13,0
415,-199,9640,6,-11,-12,0
439,-191,9632,6,-6,-4,0
433,-228,9621,-2,1,-1,0
444,-201,9642,-10,7,3,0
426,-155,9689,-10,11,11,0
397,-191,9729,-7,11,22,0
381,-290,9762,-5,10,33,0
365,-380,9794,-9,8,15,0
359,-360,9802,-26,9,-13,0
361,-172,9784,-22,10,-14,0
373,-98,9767,-2,7,-4,0
384,-177,9783,-2,5,8,0
347,-266,9777,-17,6,20,0
319,-316,9785,-10,4,22,0
318,-361,9802,4,0,18,0
324,-381,9834,7,-2,20,0
355,-454,9788,2,-8,-17,0
355,-454,9788,2,-8,-17,0
359,-258,9757,3,-6,-23,0
384,-183,9744,1,-5,-20,0
384,-256,9741,-6,-8,-12,0
360,-276,9743,-1,-4,0,0
369,-301,9757,11,-3,3,0
365,-316,9753,19,-5,6,0
378,-282,9753,28,-4,4,0
373,-226,9749,-5,-2,-19,0
373,-226,9749,-5,-2,-19,0
386,-232,9745,-8,-1,-32,0
372,-159,9765,-7,0,-26,0
395,-197,9765,0,-4,-22,0
378,-178,9735,7,-4,-9,0
375,-165,9737,12,0,2,0
386,-174,9730,10,-1,11,0
386,-156,9715,11,-1,18,0
387,-178,9713,5,0,21,0
